Title,channel_title,published_at,category_id,view_count,like_count,comment_count,likes_to_views_ratio,comments_to_views_ratio,duration_seconds
Machine Learning for Everybody – Full Course,freeCodeCamp.org,2022-09-26 16:00:28+00:00,27,9342497,98679,2163,0.0105623785,0.0002315226613,14033
"Gradient descent, how neural networks learn | Deep Learning Chapter 2",3Blue1Brown,2017-10-16 16:48:20+00:00,27,8389210,174312,3434,0.02077811608,0.000409335276,1233
AI Learns Insane Way to Jump,AI Warehouse,2024-03-25 22:08:29+00:00,24,7108310,281551,1396,0.03960870592,0.0001963898316,50
AI Learns to Play Soccer (and breaks physics),AI Warehouse,2025-05-31 23:14:58+00:00,24,6012177,93909,4031,0.01561979702,0.0006704724977,744
"Backpropagation, intuitively | Deep Learning Chapter 3",3Blue1Brown,2017-11-03 14:03:37+00:00,27,5587310,98603,1697,0.01764766629,0.0003037239201,767
Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2024 | Simplilearn,Simplilearn,2018-09-19 14:57:02+00:00,27,5273116,66588,2168,0.01262782525,0.0004111420247,472
Artificial Intelligence Full Course | Artificial Intelligence Tutorial for Beginners | Edureka,edureka!,2019-06-02 08:53:49+00:00,27,4686811,88593,982,0.0189026144,0.0002095240859,17571
Large Language Models explained briefly,3Blue1Brown,2024-11-20 15:07:15+00:00,27,4364236,141612,1927,0.03244828363,0.0004415433901,478
Learn Data Science Tutorial - Full Course for Beginners,freeCodeCamp.org,2019-05-30 12:48:19+00:00,27,4231800,87338,1383,0.02063849411,0.0003268112088,21129
Harvard CS50’s Artificial Intelligence with Python – Full University Course,freeCodeCamp.org,2023-08-10 14:17:52+00:00,27,4222472,117312,1659,0.0277827709,0.0003928977166,42682
Python Full Course for Beginners [2025],Programming with Mosh,2025-02-12 12:30:31+00:00,27,4210215,103307,2724,0.02453722089,0.0006469976837,7341
"Stanford CS229: Machine Learning Course, Lecture 1 - Andrew Ng (Autumn 2018)",Stanford Online,2020-04-17 20:07:45+00:00,27,3971220,52634,853,0.0132538582,0.0002147953992,4520
Machine Learning Full Course - Learn Machine Learning 10 Hours | Machine Learning Tutorial | Edureka,edureka!,2019-09-22 08:30:00+00:00,27,3517098,61981,1346,0.0176227624,0.0003827017664,34712
What Is AI? | Artificial Intelligence | What is Artificial Intelligence? | AI In 5 Mins |Simplilearn,Simplilearn,2019-04-30 14:30:01+00:00,27,3510814,40358,2854,0.01149533655,0.000812916659,328
Backpropagation calculus | Deep Learning Chapter 4,3Blue1Brown,2017-11-03 14:08:09+00:00,27,3503534,71579,2287,0.02043050804,0.0006527692745,618
Python Machine Learning Tutorial (Data Science),Programming with Mosh,2020-09-17 13:00:03+00:00,27,3420549,75877,1979,0.02218268992,0.0005785619272,2983
"StatQuest: Principal Component Analysis (PCA), Step-by-Step",StatQuest with Josh Starmer,2018-04-02 20:06:10+00:00,27,3411541,68347,4804,0.02003404912,0.001408160884,1318
TensorFlow 2.0 Complete Course - Python Neural Networks for Beginners Tutorial,freeCodeCamp.org,2020-03-03 15:44:00+00:00,27,3402554,72326,1991,0.0212563794,0.0005851485134,24728
PyTorch for Deep Learning & Machine Learning – Full Course,freeCodeCamp.org,2022-10-06 14:13:05+00:00,27,2941564,59903,1812,0.02036432987,0.0006159986266,92246
How word vectors encode meaning,3Blue1Brown,2024-04-11 16:23:26+00:00,27,3120589,140106,1274,0.04489727904,0.0004082561311,60
Practical Machine Learning Tutorial with Python Intro p.1,sentdex,2016-04-11 00:18:14+00:00,27,2867904,28598,1023,0.009971738952,0.0003567063763,355
Google’s AI Course for Beginners (in 10 minutes)!,Jeff Su,2023-11-14 13:00:33+00:00,27,2855706,48236,2239,0.01689108862,0.0007840440213,558
How to Operate a Portable Mini Sewing Machine FHSM 505 - NEX Sewing Machine,Easy Sewing for Beginners,2020-09-09 09:15:24+00:00,26,2843275,54293,2975,0.01909522677,0.00104632825,900
